sim_id,total_conversions,total_cpa,spend_Brand - Exact,pct_Brand - Exact,spend_Brand - Broad,pct_Brand - Broad,spend_Generic - BMM,pct_Generic - BMM,spend_Competitor,pct_Competitor,spend_Remarketing,pct_Remarketing,spend_Shopping,pct_Shopping
0,1663.8736394091018,21.636258395670495,3000.0,8.333333333333332,5000.0,13.88888888888889,8000.0,22.22222222222222,6000.0,16.666666666666664,5000.0,13.88888888888889,9000.0,25.0
1,2058.963166488509,17.48452841990212,7443.075276865976,20.67520910240549,16492.920750567933,45.81366875157759,418.5880365738019,1.1627445460383385,5524.71511749698,15.346430881936058,371.82790687407646,1.0328552968724347,5748.872911621227,15.969091421170075
2,1662.7040653574322,21.651477704338845,5545.649204160076,15.404581122666878,2541.359971969946,7.0593332554720725,7675.954795927981,21.3220966553555,1375.8068437405097,3.8216856770569714,11310.193662146548,31.417204617073747,7551.035522054942,20.97509867237484
3,1903.3782675438254,18.913739120524607,3779.7588059329587,10.49933001648044,12293.902693929922,34.14972970536089,6889.786098606599,19.138294718351663,2313.7730100157796,6.4271472500438325,4483.89842638032,12.455273406612001,6238.880965134426,17.330224903151183
4,1964.2016025832208,18.328057543917375,9327.136943812437,25.908713732812323,11138.751319331972,30.940975887033257,9228.21390228805,25.63392750635569,2303.2636871009486,6.397954686391524,2639.5393567590504,7.332053768775141,1363.0947907075476,3.786374418632077
5,1688.3482864710527,21.322614704840543,2815.413529005742,7.820593136127061,3942.5768024177155,10.951602228938098,3581.639388150229,9.948998300417303,1284.933754938242,3.569260430384005,10737.964530450736,29.827679251252043,13637.471995037331,37.88186665288148
6,1507.768555137288,23.87634353915947,291.4737127362165,0.8096492020450458,6272.266816701827,17.4229633797273,4074.293503886981,11.317481955241613,9887.42268398359,27.465063011065528,13297.229735225546,36.936749264515406,2177.3135474658416,6.048093187405115
7,1492.1531762070972,24.126209409350565,23052.183807846144,64.03384391068373,5066.292869414424,14.0730357483734,2358.162260198096,6.5504507227724895,2499.6265023525366,6.943406950979268,2064.571321357697,5.734920337104714,959.1632388310953,2.664342330086376
8,1412.0223982680234,25.495346280737007,17015.72066807929,47.265890744664695,4336.287821154807,12.045243947652242,2641.896610617541,7.338601696159835,6993.79937455115,19.427220484864307,4014.7781915908163,11.152161643307823,997.5173340063928,2.7708814833510913
9,1666.5109105057877,21.60201878850824,10426.618151844476,28.962828199567987,4095.659268462609,11.376831301285025,6016.456316304092,16.712378656400258,2142.222140746586,5.9506170576294055,1234.1906941886741,3.428307483857428,12084.853428453564,33.5690373012599
10,1884.632477129312,19.10186757199234,11626.307610130818,32.29529891703005,8299.235493606906,23.05343192668585,6304.940654738716,17.51372404094088,920.240713802455,2.5562242050068193,6402.772840313189,17.78548011198108,2446.5026874079153,6.795840798355321
11,1702.2243393412746,21.148798761702146,232.42816624966957,0.645633795137971,13838.32925493426,38.4398034859285,4095.756403898201,11.377101121939447,7544.924485647049,20.958123571241803,1788.7638245193284,4.968788401442579,8499.79786475149,23.610549624309694
12,1543.9080680846746,23.317450529720016,7609.722037816872,21.138116771713534,2214.0499256908947,6.150138682474707,12483.640859498335,34.67678016527315,3581.8253453982497,9.949514848328471,6026.208985922313,16.73946940533976,4084.5528456733373,11.34598012687038
13,1801.674312442271,19.98141381679576,2623.8965533559463,7.288601537099851,15374.52725996336,42.70702016656489,759.1605834952886,2.108779398598024,12576.826528779196,34.935629246608876,1645.6023019847219,4.571117505513116,3019.986772421485,8.388852145615235
14,1735.5593477096195,20.742592321898083,3492.129007718424,9.7003583547734,5906.2312488381995,16.406197913439442,14963.497870259072,41.56527186183075,2822.3247052852457,7.839790848014571,6026.063369680782,16.73906491577995,2789.75379821827,7.74931610616186
15,1997.2712112814443,18.02459265254341,6040.129084496987,16.778136345824965,7494.348119827751,20.817633666188197,5027.51886417325,13.965330178259027,6277.755525110953,17.43820979197487,5386.868028346384,14.963522300962175,5773.380378044678,16.03716771679077
16,1720.7235148612,20.921431995949618,16385.086291846488,45.51412858846247,7012.505989275678,19.47918330354355,941.7584000660313,2.6159955557389756,7044.2896436580495,19.567471232383472,3843.345371321255,10.675959364781264,773.0143038324983,2.147261955090273
17,889.1783268080151,40.48681677749986,2397.6077770931806,6.660021603036613,98.5870797120396,0.27385299920010997,5311.995713837531,14.755543649548697,1826.682104025022,5.074116955625061,25072.511698043796,69.64586582789943,1292.6156272884311,3.5905989646900864
18,1763.664752466336,20.41204256628537,14260.968047641756,39.61380013233821,2952.1516122186263,8.20042114505174,2743.0941890438266,7.619706080677297,2083.668369390527,5.787967692751464,8605.090611919552,23.90302947755431,5355.027169785718,14.875075471626994
19,2014.3126456017344,17.87210147273128,8710.190292655803,24.19497303515501,7526.433464337406,20.90675962315946,2538.865218514783,7.052403384763287,1387.4779713477235,3.854105475965899,4112.846615841047,11.424573932891798,11724.186437303237,32.567184548064546
20,1677.6847086861376,21.45814396090732,176.60166061165174,0.49056016836569927,8820.86916586778,24.502414349632723,3065.125579638127,8.514237721217018,2878.279361458762,7.995220448496562,9304.670966448504,25.846308240134736,11754.453265975182,32.65125907215328
21,1846.6908579039462,19.494329462843154,9489.342730389739,26.359285362193717,4748.40483619734,13.1900134338815,15836.498844664118,43.99027456851144,2041.7584711268019,5.671551308685561,545.2949601172664,1.5147082225479624,3338.700157504728,9.2741671041798
22,1600.7615712612492,22.48929549928875,20269.959221076377,56.305442280767714,3399.6550821320816,9.443486339255783,8617.114552278808,23.93642931188558,1528.4805921271086,4.245779422575302,1995.919252440233,5.544220145667314,188.87129994538768,0.5246424998482991
23,1549.0143475792242,23.240585251040603,11715.79862790719,32.543885077519974,1615.4580070681527,4.487383352967091,2315.6206003396874,6.43227944538802,10637.521346949572,29.548670408193257,2721.7012623920177,7.560281284422271,6993.900155343384,19.427500431509397
24,1280.631653912838,28.11112773138608,1087.0536987622322,3.019593607672867,1048.0791682507106,2.9113310229186404,4661.778389032691,12.949384413979697,9662.04926856526,26.83902574601461,13632.168925662883,37.86713590461912,5908.870549726223,16.413529304795063
25,1848.710465872688,19.473033049015665,8155.038975470768,22.652886042974355,3800.4841316106977,10.556900365585271,7547.989184999703,20.966636624999175,9589.88978299931,26.63858273055364,2462.8746787657724,6.841318552127146,4443.723246153751,12.343675683760418
26,1907.799337457611,18.869909058661612,5180.651270710951,14.390697974197087,3435.6285272765294,9.543412575768137,10074.091776601794,27.983588268338316,3508.0218784204585,9.744505217834606,8274.05931790165,22.98349810528236,5527.547229088619,15.354297858579496
27,1738.1620018518859,20.711533195205398,2704.3324303437184,7.512034528732552,7600.628948779396,21.112858191053878,5968.804186922198,16.58001163033944,1381.1257709467839,3.836460474852178,18121.181378135265,50.33661493926462,223.92728487263727,0.6220202357573258
28,1542.3971419804157,23.34029221149653,17418.516490624927,48.38476802951369,2217.671338572288,6.1601981627008,4504.833045567507,12.513425126576408,3757.1612334830106,10.436558981897253,2569.860956094957,7.138502655819326,5531.956935657311,15.366547043492531
29,1784.5145761483327,20.17355334676045,4905.1760436841,13.62548901023361,3933.520615162711,10.926446153229751,8237.471520024867,22.881865333402406,8980.248349044658,24.945134302901824,3731.204528343668,10.364457023176856,6212.378943739995,17.25660817705554
30,1796.8261047709848,20.03532779516713,5914.915016148592,16.430319489301645,10551.389036168997,29.309413989358323,621.4380936879052,1.7262169269108476,4407.328185519145,12.242578293108737,12109.470342464441,33.637417617956785,2395.459326010923,6.654053683363675
31,1372.3355544608276,26.232651251350784,2289.8072677456607,6.360575743737947,1257.9319114269827,3.4942553095193967,5226.933960474721,14.51926100131867,16907.33930803963,46.9648314112212,8427.79048951992,23.410529137555336,1890.1970627930893,5.2505473966474705
32,1041.9193785425753,34.551617660050034,15601.555869364242,43.33765519267845,856.1151418098668,2.3780976161385188,5311.6377289745515,14.754549247151532,11723.173443292644,32.564370675812896,56.893870276108494,0.15803852854474582,2450.6239462825924,6.807288739673869
33,1575.196791559239,22.854287282013,6174.786613712061,17.15218503808906,2021.1411060902783,5.614280850250773,3277.7536966802904,9.104871379667474,10831.378586743536,30.087162740954266,134.13789937524896,0.3726052760423582,13560.802097398584,37.668894714996064
34,1336.1124997276943,26.943838941209638,1188.4040232530185,3.30112228681394,21397.370447691148,59.437140132475406,11993.95973662526,33.31655482395905,436.1735618589916,1.2115932273860879,49.19660618973018,0.13665723941591718,934.8956243818544,2.5969322899495957
35,1915.3521212764747,18.79549958469674,7943.4892386089605,22.065247885024892,8857.853169019785,24.605147691721626,8992.868978248254,24.98019160624515,6574.43110707854,18.26230863077372,338.78158719254617,0.9410599644237393,3292.575919851915,9.146044221810874
36,1493.4494896380284,24.10526787131276,11107.209854320314,30.853360706445315,1447.4396401733065,4.020665667148074,8856.82268187585,24.60228522743292,3555.9310998619703,9.877586388505472,706.968951709633,1.9638026436378693,10325.62777205893,28.68229936683036
37,1756.251656892163,20.49820130203041,5464.842494830486,15.180118041195795,6977.6000887426035,19.382222468729456,3453.2174022727295,9.592270561868693,13308.057918937646,36.96682755260457,6095.309852030911,16.93141625564142,700.972243185618,1.94714511996005
38,1750.5715508428473,20.564712126543522,757.4975372517553,2.10415982569932,27078.931568933887,75.21925435814968,4612.04273176955,12.811229810470973,2665.5652655327694,7.404347959813248,624.0949111442651,1.7335969754007363,261.8679853677652,0.7274110704660144
39,1972.1852374920868,18.253863438192603,10509.446767904474,29.19290768862354,5337.706633755079,14.826962871541886,9329.433535411174,25.915093153919926,7716.129017244617,21.433691714568383,517.4597287015691,1.4373881352821365,2589.824316983083,7.19395643606412
40,1245.409881109342,28.90614611788145,782.4804781177273,2.173556883660354,625.8736227602066,1.7385378410005738,22731.343217169466,63.142620047692965,2278.4722836368296,6.329089676768971,5117.074347675801,14.21409541021056,4464.756050639966,12.402100140666573
